斂	敛
斃	毙
斆	敩
斕	斓
斬	斩
斮	斫
斲	斫
斵	斫
斷	断
於	于 於
旂	旗
旣	既
旤	祸
旹	时
旾	春
昇	升 昇
昚	慎
昬	昏
昰	是
時	时
晉	晋
晛	𬀪
晝	昼
晳	晰
晻	暗
暈	晕
暉	晖
暎	映
暐	𬀩
暘	旸
暠	皓
暢	畅
暫	暂
暱	昵
曄	晔
曆	历
曇	昙
曉	晓
曏	向
曖	暧
曠	旷
曡	叠
曨	昽
曬	晒
書	书
會	会
朞	期
朢	望
朧	胧
朮	术
朶	朵
東	东
枏	楠
枒	丫
枴	拐
柟	楠
柵	栅
柹	柿
柺	拐
査	查
栁	柳
栞	刊
栢	柏
栰	筏
桒	桑
桮	杯
桺	柳
桿	杆
梔	栀
梘	枧
梜	𬂩
條	条
梟	枭
梲	棁
棃	梨
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棡	㭎
棧	栈
棲	栖
棶	梾
椀	椀 碗
椉	乘
椏	桠 丫
椗	碇
椶	棕
椷	缄
椾	笺
楊	杨
楓	枫
楥	楦
楨	桢
業	业
楳	梅
極	极
榘	矩
榦	干
榪	杩
榮	荣
榲	榅
榿	桤
槀	槁
構	构
槍	枪
槑	梅
槓	杠
槕	桌
槤	梿
槧	椠
槨	椁
槳	桨
槼	规
樁	桩
樂	乐
樅	枞
樐	橹
樑	梁
樓	楼
標	标
樞	枢
樣	样
樸	朴
樹	树
樺	桦
橈	桡
橋	桥
橜	橛
機	机
橢	椭
橤	蕊
橫	横
檁	檩
檉	柽
檔	档
檜	桧
檝	楫
檟	槚
檢	检
檣	樯
檮	梼
檯	台
檳	槟
檸	柠
檻	槛
櫂	棹
櫃	柜
櫈	凳
櫍	𬃊
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫻	樱
欄	栏
欅	榉
權	权
欏	椤
欒	栾
欓	𣗋
欖	榄
欝	郁
欞	棂
欬	咳
欵	款
欽	钦
歎	叹
歐	欧
歛	敛
歟	欤
歡	欢
歲	岁
歴	历
歷	历
歸	归
歿	殁
殀	夭
殘	残
殞	殒
殤	殇
殫	殚
殭	僵
殮	殓
殯	殡
殲	歼
殺	杀
殻	壳
殼	壳
殽	淆
毀	毁
毆	殴
毘	毗
毧	绒
毬	球
毿	毵
氂	牦
氈	毡
氊	毡
氌	氇
氣	气
氫	氢
氬	氩
氳	氲
氷	冰
氾	泛 氾
汎	泛
汙	污
汚	污
決	决
沒	没
沖	冲
況	况
泝	溯
洩	泄
洶	汹
浹	浃
浿	𬇙
涇	泾
涖	莅
涼	凉
淒	凄
淚	泪
淛	浙
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
淼	淼 渺
渙	涣
減	减
渢	沨
渦	涡
測	测
渾	浑
湊	凑
湋	𣲗
湞	浈
湧	涌
湯	汤
湻	淳
湼	涅
溈	沩
準	准
溝	沟
溫	温
溮	浉
溳	涢
溼	湿
滄	沧
滅	灭
滌	涤
滎	荥
滙	汇
滛	淫
滬	沪
滯	滞
滲	渗
滷	卤
滸	浒
滻	浐
滾	滚
滿	满
漁	渔
漊	溇
漍	𬇹
漚	沤
漢	汉
漣	涟
漬	渍
漲	涨
漵	溆
漸	渐
漿	浆
潁	颍
潄	漱
潑	泼
潔	洁
潕	𣲘
潙	沩
潛	潜
潤	润
潯	浔
潰	溃
潷	滗
潿	涠
澀	涩
澁	涩
澂	澂 澄
澆	浇
澇	涝
澐	沄
澗	涧
澠	渑
澣	浣
澤	泽
澦	滪
澫	𬇕
澮	浍
澱	淀
濁	浊
濃	浓
濆	𣸣
濇	涩
濕	湿
濘	泞
濚	溁
